"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"cluster","cluster","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"coda","coda","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"codetools","codetools","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"colorspace","colorspace","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.0-3",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"combinat","combinat","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.2"
"commonmark","commonmark","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.8.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"compiler","compiler","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","4.2.2","base",NA,NA,NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"ComplexHeatmap","ComplexHeatmap","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.14.0",NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"compositions","compositions","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.0-4",NA,"R (>= 3.6)","methods, utils, grDevices, stats, tensorA, robustbase, bayesm,
graphics, MASS",NA,"rgl, combinat, energy, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"corncob","corncob","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.1",NA,"R (>= 3.2)","stats, utils, optimr, VGAM, numDeriv, ggplot2, trust, dplyr,
magrittr, detectseparation, scales, phyloseq",NA,"knitr, rmarkdown, testthat, covr, limma, slam, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"corrplot","corrplot","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"covr","covr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.6.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"cowplot","cowplot","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"cpp11","cpp11","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.3",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"crayon","crayon","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"credentials","credentials","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"crosstalk","crosstalk","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"crul","crul","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.3",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"curl","curl","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","5.0.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"datasets","datasets","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","4.2.2","base",NA,NA,NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"data.table","data.table","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.14.6",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"DBI","DBI","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"dbplyr","dbplyr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.3.0",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), cli (>= 3.4.1), DBI
(>= 1.0.0), dplyr (>= 1.0.10), glue (>= 1.2.0), lifecycle (>=
1.0.3), magrittr, methods, pillar (>= 1.5.0), purrr (>= 1.0.1),
R6 (>= 2.2.2), rlang (>= 1.0.6), tibble (>= 1.4.2), tidyselect
(>= 1.2.0), utils, vctrs (>= 0.5.0), withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr (>= 1.2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"DECIPHER","DECIPHER","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.26.0",NA,"R (>= 3.5.0), Biostrings (>= 2.59.1), RSQLite (>= 1.1), stats,
parallel","methods, DBI, S4Vectors, IRanges, XVector","Biostrings, S4Vectors, IRanges, XVector",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"decontam","decontam","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.18.0",NA,"R (>= 3.4.1), methods (>= 3.4.1)","ggplot2 (>= 2.1.0), reshape2 (>= 1.4.1), stats",NA,"BiocStyle, knitr, rmarkdown, phyloseq",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"DelayedArray","DelayedArray","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.24.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.43.4), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"DelayedMatrixStats","DelayedMatrixStats","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.20.0",NA,"MatrixGenerics (>= 1.5.3), DelayedArray (>= 0.17.6)","methods, matrixStats (>= 0.60.0), sparseMatrixStats, Matrix
(>= 1.5-0), S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem, HDF5Array",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"deldir","deldir","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"dendextend","dendextend","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.16.0",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.2"
"DEoptimR","DEoptimR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-11",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"desc","desc","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.4.2",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"DESeq2","DESeq2","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.38.3",NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, matrixStats,
methods, stats4, locfit, geneplotter, ggplot2, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"deSolve","deSolve","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.34",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"detectseparation","detectseparation","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3",NA,"R (>= 3.3.0)","ROI, ROI.plugin.lpsolve, lpSolveAPI, pkgload",NA,"knitr, rmarkdown, covr, brglm2, AER, tinytest,
ROI.plugin.ecos, ROI.plugin.glpk, ROI.plugin.alabama,
ROI.plugin.neos",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"devtools","devtools","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"DEXSeq","DEXSeq","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.44.0",NA,"BiocParallel, Biobase, SummarizedExperiment, IRanges (>=
2.5.17), GenomicRanges (>= 1.23.7), DESeq2 (>= 1.9.11),
AnnotationDbi, RColorBrewer, S4Vectors (>= 0.23.18)","BiocGenerics, biomaRt, hwriter, methods, stringr, Rsamtools,
statmod, geneplotter, genefilter",NA,"GenomicFeatures (>= 1.13.29), pasilla (>= 0.2.22),
parathyroidSE, BiocStyle, knitr, rmarkdown, testthat","","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.2"
"diffobj","diffobj","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"digest","digest","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.6.31",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"dismo","dismo","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.3-9",NA,"R (>= 3.6.3), raster (>= 3.5-21), sp (>= 1.4-5)","Rcpp, methods, terra (>= 1.5-34)","Rcpp","rJava (>= 0.9-7), XML, ROCR, deldir, gstat, randomForest,
kernlab, jsonlite, gbm (>= 2.1.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"doParallel","doParallel","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.2.2"
"dotCall64","dotCall64","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-2",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"downlit","downlit","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.2",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"dplyr","dplyr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.10",NA,"R (>= 3.4.0)","generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.2), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.4.1), pillar (>=
1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"dqrng","dqrng","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.0",NA,"R (>= 3.1.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"DropletUtils","DropletUtils","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.18.1",NA,"SingleCellExperiment","utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
IRanges, GenomicRanges, SummarizedExperiment, BiocParallel,
DelayedArray, DelayedMatrixStats, HDF5Array, rhdf5, edgeR,
R.utils, dqrng, beachmat, scuttle","Rcpp, beachmat, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"DT","DT","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.27",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"dtplyr","dtplyr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2.2",NA,"R (>= 3.3)","crayon, data.table (>= 1.13.0), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"dynamicTreeCut","dynamicTreeCut","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.63-1",NA,"R (>= 2.3.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"e1071","e1071","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.7-12",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"ECOSolveR","ECOSolveR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.5.4",NA,NA,"methods",NA,"knitr, rmarkdown, testthat, Matrix, covr, slam",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"EDASeq","EDASeq","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.32.0",NA,"Biobase (>= 2.15.1), ShortRead (>= 1.11.42)","methods, graphics, BiocGenerics, IRanges (>= 1.13.9),
aroma.light, Rsamtools (>= 1.5.75), biomaRt, Biostrings,
AnnotationDbi, GenomicFeatures, GenomicRanges, BiocManager",NA,"BiocStyle, knitr, yeastRNASeq, leeBamViews, edgeR,
KernSmooth, testthat, DESeq2, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"edgeR","edgeR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.40.2",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.2"
"ellipse","ellipse","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.3",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"ellipsis","ellipsis","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"evaluate","evaluate","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.20",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"ExperimentHub","ExperimentHub","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.6.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, curl, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"fansi","fansi","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"farver","farver","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fastcluster","fastcluster","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2.3",NA,"R (>= 3.0.0)",NA,NA,NA,"stats, flashClust","FreeBSD | GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fasterize","fasterize","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.4",NA,"R (>= 3.3.0)","methods, Rcpp, raster, sp","Rcpp, RcppArmadillo","testthat, microbenchmark, knitr, rmarkdown, sf, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fastmap","fastmap","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fields","fields","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","14.1",NA,"R (>= 3.5.0), methods, spam, viridis","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"filehash","filehash","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.4-3",NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"filelock","filelock","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fitdistrplus","fitdistrplus","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1-8",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"FNN","FNN","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.3.1",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"fontawesome","fontawesome","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.0",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"forcats","forcats","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.5.2",NA,"R (>= 3.4)","cli, ellipsis, glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble, withr",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"foreach","foreach","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.2"
"foreign","foreign","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.8-84","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"formatR","formatR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"Formula","Formula","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.2"
"fs","fs","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"fso","fso","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.1-2",NA,"labdsv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
